index,brand,ultra_hd,full_hd,Price,Rating,inches,display_type,wifi,rom,value_score,smart_features,Company_amazon,Company_croma,Company_flipkart,ppi,resolution_width,resolution_height,fast_charging,ram,Spec_Score,size_category,charging_category,brand_category
33,lumio,1,0,10.59663473,4.55,55,qled,1,44.8,0.007166429,4,1,0,0,3,1,2,2,2,3,1,2,big
34,tcl,1,0,10.38871841,4.05,43,qled,1,16,0.007229917,3,0,0,1,4,1,2,1,1,3,0,2,big
35,lg,1,0,10.72965662,4.25,43,miniled,1,22.4,0.005395054,3,0,1,0,4,1,2,1,1,3,0,2,big
36,samsung,1,0,10.53185618,4.3,50,led,1,19.2,0.006308349,3,1,0,0,4,1,2,2,1,2,1,2,big
37,realme,0,0,9.323669057,4.65,32,qled,1,16,0.014955515,4,0,0,1,0,0,0,1,0,1,0,2,big
38,vw,0,1,9.61580548,4.55,43,qled,1,19.2,0.012437496,3,1,0,0,1,0,1,1,2,1,0,2,big
39,hisense,1,0,10.96819829,4.2,55,miniled,1,28.8,0.004996638,4,0,0,1,3,1,2,1,1,4,1,2,big
40,hisense,1,0,11.25144381,4.25,65,miniled,1,32,0.004029744,4,0,0,1,2,1,2,1,1,4,1,2,big
41,tcl,1,0,11.09727365,4.45,65,qled,1,32,0.00499015,3,1,0,0,2,1,2,2,2,4,1,1,big
42,samsung,1,0,10.70752742,4.65,43,miniled,1,25.6,0.005930857,3,0,1,0,4,1,2,2,1,3,0,2,big
43,lg,1,0,10.40426284,4.45,43,led,1,19.2,0.006742629,3,1,0,0,4,1,2,1,1,1,0,2,big
44,lg,1,0,10.49957302,4.55,43,led,1,22.4,0.006768782,3,0,1,0,4,1,2,1,1,2,0,2,big
45,tcl,1,0,11.44025799,4.4,75,qled,1,32,0.003643403,3,0,1,0,1,1,2,1,2,4,1,2,big
46,tcl,1,0,10.87787737,4.45,55,qled,1,32,0.005710511,3,1,0,0,3,1,2,1,2,4,1,2,big
47,tcl,1,0,10.66874607,4.7,55,qled,1,32,0.006996976,3,1,0,0,3,1,2,1,2,3,1,2,big
48,xiaomi,1,0,10.20359214,4.1,43,qled,1,32,0.008200304,4,1,0,0,4,1,2,2,1,2,0,2,big
